ID_REF,GSM1443061,GSM1443062,GSM1443063,GSM1443064,GSM1443065,GSM1443066
353,0.14,0.04,0.05,0.27,0.13,0.1
354,0.07,0.04,0.05,0.09,0.09,0.1
355,0.87,0.04,12172566,0.1,11744273,10679676
356,0.15,0.04,0.05,0.09,0.09,0.11
357,5099920,5447151,66168787,65869264,4259452,0.76
358,6518850,11148899,7813926,37624842,4931795,3554568
359,43455900,196933507,208934036,65865431,173430877,34423274
360,1226273,0.07,2858247,0.51,0.58,0.24
361,5604850,7552592,24619801,16659616,117823881,53665548
362,4000721,5781929,8537743,7524959,5553259,1075762
363,55050223,239554563,333924211,337816106,542436202,31540906
364,1935591,7759270,6850100,6299057,5725831,4787253
365,15522787,4547970,37874528,0.09,3271887,12050422
366,0.93,1612801,0.07,2356765,0.08,55558549
367,0.39,0.35,0.07,0.31,0.08,0.19
368,0.88,0.24,0.29,1117817,2078745,0.1
369,6191201,0.81,2499878,3615706,11195490,2119767
370,3144132,5248323,3857940,2689144,3589372,1426984
371,0.03,0.04,0.05,0.09,0.08,0.1
372,0.68,0.14,1213966,15128261,99883758,2170140
373,2971273,22102481,6537441,2685453,5687195,3225580
374,0.44,1471494,0.63,0.58,0.08,0.1
375,0.03,0.18,0.08,0.09,0.08,0.1
376,40684258,121507787,317056414,156838634,287341226,179910505
377,1706232,0.04,0.05,0.08,0.15,0.1
378,0.2,0.36,0.29,0.25,0.42,0.1
379,1033490,0.63,0.96,2560015,1055927,0.3
380,0.19,0.29,0.24,0.41,0.1,0.1
381,0.03,0.04,0.05,0.08,0.08,0.1
382,1718691,36736731,112301139,0.33,54542011,11612010
383,0.1,0.05,0.24,5331457,0.35,0.1
384,0.22,0.12,0.25,0.11,0.19,0.16
385,2016856,2200395,102142121,25378455,1343803,2977250
386,0.13,0.16,0.14,0.14,0.09,0.18
387,0.03,0.04,0.05,0.08,0.08,0.1
388,2414679,0.74,1164303,1051475,1751572,21761403
389,0.03,0.04,0.06,153206927,0.07,0.11
390,0.1,0.15,0.91,0.08,0.07,0.11
391,1393991,0.55,0.05,0.08,0.07,0.11
393,5839505,4889517,27608683,0.69,14431751,51363506
394,0.7,0.49,0.49,1232632,0.92,0.35
395,1263875,9028380,10272078,0.58,7574425,27920873
396,87131568,148306411,216793783,474201957,627789749,373785038
397,0.83,46801205,15300515,54994423,1115346,15086760
398,0.19,0.06,0.06,0.08,0.08,0.16
399,2067044,5707580,0.06,5910938,0.14,0.29
400,45505269,41063491,58195527,77791696,38818623,14920933
401,0.11,0.06,0.06,0.13,0.29,0.11
402,1035460,0.39,1070900,0.35,0.57,0.85
403,2470407,3887923,3046715,2962099,1522282,0.57
404,58464548,34725576,20845559,18921357,25580281,68394334
405,0.03,0.04,0.32,0.08,0.08,0.11
406,2066270,0.23,0.43,0.43,0.48,0.42
407,0.89,0.72,0.65,33956330,0.4,0.27
408,25794846,0.48,0.9,0.74,0.55,0.21
409,5818225,1336009,143038675,104395257,1122567,0.84
410,2477732,14746710,1072146,265315342,178092824,87739006
